,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,state,bb_direction,enter_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
1014,1146,1645092000000.0,43220.0,43317.0,42924.0,43033.0,2793.124,120519252.004,2022-02-17 10:00:00,0.0001,-0.000456,20301.026,33.43,43991.33,43400.85,43696.09,44286.56,43105.62,44581.8,42810.38,-137.63,-52.07,-85.55,12.85,34.9,24.5,22.65,2431.296285714286,86.56,-69.8,174.23,-0.42,43586.5,43235.68,PositionState,lower,43033.0,40362.0,0.0,2671.0,3193.0,-193.0,2257.177777777778,2963.529999999999
1064,1196,1645272000000.0,39837.0,39927.0,39674.5,39753.5,2264.17,90121136.5105,2022-02-19 12:00:00,0.0001,0.000125,20424.184,33.0,40266.74,39971.88,40119.31,40414.17,39824.45,40561.6,39677.02,-219.75,-238.62,18.86,10.75,27.64,43.45,50.92,1572.3112142857146,22.87,-38.51,19.86,-0.33,40048.16,39830.7,PositionState,lower,39753.5,40159.5,0.0,-406.0,0.0,-406.0,-198.91666666666666,-216.75
1080,1212,1645329600000.0,39789.0,39826.0,39480.5,39549.5,3472.058,137607990.4475,2022-02-20 04:00:00,0.0001,-2.1e-05,20609.762,34.81,40082.91,39817.19,39950.05,40215.77,39684.33,40348.63,39551.47,-123.65,-111.59,-12.05,11.85,28.28,27.57,34.46,1532.1997142857147,117.44,-42.16,86.75,-6.2,39905.0,39700.95,PositionState,lower,39549.5,38819.0,0.0,730.5,1417.0,0.0,1087.842105263158,1155.8799999999974
1112,1244,1645444800000.0,37549.5,37742.5,37361.0,37503.0,8840.924,331770103.901,2022-02-21 12:00:00,3.534e-05,-0.000784,20245.702,29.99,39129.78,38085.69,38607.73,39651.82,37563.64,40173.86,37041.6,-210.1,-92.96,-117.13,14.51,38.08,27.53,33.6,4860.152714285715,313.68,-116.28,253.4,-2.11,38688.05,37799.69,PositionState,lower,37503.0,38659.5,0.0,-1156.5,0.0,-1156.5,-394.0,-362.09999999999854
1175,1307,1645671600000.0,35896.0,35910.0,34641.5,34902.0,20841.608,735987310.607,2022-02-24 03:00:00,-0.00016121,-0.001687,19431.646,19.83,38410.02,36275.16,37342.59,39477.46,35207.72,40544.89,34140.29,-535.91,-207.22,-328.68,8.12,43.31,31.31,30.43,5778.655857142857,1224.38,-256.9,1083.03,-12.38,36904.05,35678.62,PositionState,lower,34902.0,36115.0,0.0,-1213.0,261.0,-1213.0,-417.85714285714283,-226.34999999999854
1356,1488,1646323200000.0,42519.5,42739.0,42227.0,42400.5,8040.643,341562132.292,2022-03-03 16:00:00,0.0001,-0.000331,19127.801,34.13,43819.91,42951.3,43385.6,44254.22,42516.99,44688.52,42082.68,-217.57,-118.07,-99.5,14.57,29.11,17.86,22.01,4225.700857142858,444.22,-103.7,369.58,-3.3,43235.94,42718.07,PositionState,lower,42400.5,39409.0,0.0,2991.5,3675.0,-80.0,1955.82,3405.760000000002
1422,1554,1646560800000.0,38686.5,38718.0,38120.0,38260.5,8782.517,336709988.4675,2022-03-06 10:00:00,-0.00012523,-4.6e-05,19180.122,25.12,39513.46,38911.45,39212.46,39814.47,38610.44,40115.48,38309.43,-195.5,-126.74,-68.76,11.01,43.67,32.37,36.67,2742.4692857142863,551.87,-100.2,459.12,-9.58,39175.38,38619.04,PositionState,lower,38260.5,39201.0,0.0,-940.5,0.0,-940.5,-415.2142857142857,-369.52999999999884
1513,1645,1646888400000.0,39533.0,39533.0,38722.0,39173.0,9975.534,391139400.8215,2022-03-10 05:00:00,0.0001,-0.000476,18644.496,27.5,41933.53,40144.98,41039.26,42827.8,39250.71,43722.08,38356.43,-127.67,288.65,-416.33,14.17,40.06,40.16,44.93,4419.925642857143,295.39,-196.43,1028.19,-10.1,40961.72,39698.87,PositionState,lower,39173.0,39909.0,0.0,-736.0,914.0,-736.0,69.87096774193549,243.20999999999913
1592,1724,1647172800000.0,38740.0,38769.0,38365.0,38518.0,5738.648,221149165.6105,2022-03-13 12:00:00,-3.731e-05,4.7e-05,20454.7,31.89,39124.75,38819.06,38971.9,39277.59,38666.22,39430.43,38513.37,-68.45,-21.8,-46.65,14.08,31.14,11.5,9.82,1777.5700000000004,365.89,-47.77,201.15,-5.62,38964.16,38695.94,PositionState,lower,38518.0,38980.0,0.0,-462.0,0.0,-462.0,-312.92857142857144,-241.43999999999505
1603,1735,1647212400000.0,37722.0,37887.0,37555.0,37756.0,3640.414,137415216.8815,2022-03-13 23:00:00,-1.752e-05,-0.00018,19620.16999999,24.8,39062.96,38298.2,38680.58,39445.33,37915.82,39827.71,37533.44,-213.69,-101.98,-111.71,10.71,41.22,19.01,13.42,2817.392571428572,157.1,-97.31,458.15,-2.5,38607.83,37998.32,PositionState,lower,37756.0,38505.0,0.0,-749.0,0.0,-749.0,-292.6666666666667,-289.25
