start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,profit_ma,entry_type,entry_volume
2020-08-31 04:00:00,11680.0,11698.5,11609.0,11628.0,408.911,4754817.108,2020-08-31 04:00:00,0.0001,0.001205,5202.74399999,56.27,11655.23,11476.37,11565.8,11744.66,11386.94,11834.09,11297.51,46.17,26.46,19.7,22.11,17.14,18.12,20.85,529.4383571428572,0.94,-62.20000000000073,-45.28,-5.93,11617.83,11649.13,116.65999999999985,-241.0599999999995,21.1299999999992,-10.170000000000073,-13.729999999999997,26.270000000000003,4.969999999999999,19.71,357.71999999999935,None,None,11884.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,1749.583
2020-08-31 08:00:00,11628.0,11716.5,11577.0,11679.0,939.593,10973506.647,2020-08-31 08:00:00,0.0001,0.000425,5260.16799999,59.72,11662.44,11490.72,11576.58,11748.3,11404.86,11834.16,11319.0,49.02,30.97,18.04,19.92,17.71,17.24,19.79,579.6925,50.25,-102.42000000000007,-25.85,-4.3,11640.83,11661.08,69.29999999999927,-274.1399999999994,-17.920000000000073,-38.17000000000007,-10.280000000000001,29.72,2.210000000000001,18.050000000000004,343.4399999999987,None,None,11884.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,1749.583
2020-08-31 12:00:00,11679.0,11775.0,11671.0,11746.0,1395.909,16396347.114,2020-08-31 12:00:00,0.0001,0.000518,5035.154,63.76,11677.18,11508.25,11592.71,11761.64,11423.79,11846.11,11339.32,56.04,35.99,20.05,22.59,16.41,17.14,19.09,639.0126428571429,59.32,-153.29000000000087,-1.95,1.78,11655.66,11695.04,15.639999999999418,-322.2099999999991,-50.95999999999913,-90.34000000000015,-6.240000000000002,33.76,6.18,20.049999999999997,337.84999999999854,None,None,11884.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,1749.583
2020-08-31 16:00:00,11746.0,11752.0,11706.0,11731.0,251.266,2947601.446,2020-08-31 16:00:00,0.0001,0.000489,4786.569,62.26,11693.12,11518.65,11605.88,11780.35,11431.42,11867.58,11344.19,59.7,40.73,18.97,21.83,15.85,17.05,18.44,596.1000714285714,-42.91,-125.1200000000008,24.42,2.46,11670.66,11709.42,49.350000000000364,-299.5799999999999,-21.579999999999927,-60.340000000000146,-7.740000000000002,32.26,5.979999999999999,18.970000000000006,348.9300000000003,None,None,11884.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,1749.583
2020-08-31 20:00:00,11731.0,11732.5,11630.0,11661.0,611.421,7129780.281,2020-08-31 20:00:00,0.0001,0.001149,4890.71,55.65,11698.24,11524.03,11611.13,11785.34,11436.92,11872.45,11349.82,56.31,43.84,12.46,20.18,20.24,15.84,17.15,602.9332857142857,6.83,-49.8700000000008,18.2,-6.79,11677.16,11690.05,124.34000000000015,-224.07999999999993,29.049999999999272,16.159999999999854,-14.350000000000001,25.65,-0.05999999999999872,12.469999999999999,348.4200000000001,None,None,11884.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,1749.583
2020-09-01 00:00:00,11661.0,11700.0,11537.5,11690.0,1079.079,12614433.51,2020-09-01 00:00:00,0.00013918,0.000168,4737.18,57.65,11705.24,11532.05,11618.64,11791.83,11445.46,11878.42,11358.86,55.32,46.14,9.17,17.89,24.41,15.81,16.58,665.7222857142858,62.78,-71.36000000000058,2.94,-8.11,11685.33,11690.03,101.82999999999993,-244.54000000000087,0.030000000000654836,-4.670000000000073,-12.350000000000001,27.65,-6.52,9.18,346.3700000000008,None,None,11884.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,1749.583
2020-09-01 04:00:00,11690.0,11946.0,11688.0,11930.0,1679.752,20039441.36,2020-09-01 04:00:00,0.00013918,0.001163,4714.286,69.81,11757.75,11538.84,11648.3,11867.21,11429.38,11976.67,11319.92,73.06,51.52,21.53,30.5,20.43,16.09,16.61,760.2661428571428,94.54,-281.7000000000007,97.94,14.3,11717.22,11786.02,-62.79000000000087,-500.6200000000008,-143.97999999999956,-212.78000000000065,-0.18999999999999773,39.81,10.07,21.54,437.8299999999999,EntryPreparationState,upper,11884.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,1749.583
2020-09-01 08:00:00,11930.0,11958.0,11856.5,11884.0,1040.866,12369651.544,2020-09-01 08:00:00,0.0001683,0.001345,4890.82,65.91,11789.63,11551.85,11670.74,11908.52,11432.97,12027.41,11314.08,82.46,57.71,24.74,29.3,19.11,16.45,16.68,766.4541428571429,6.18,-213.26000000000022,113.1,12.73,11736.55,11825.21,24.520000000000437,-451.03000000000065,-58.79000000000087,-147.45000000000073,-4.090000000000003,35.91,10.190000000000001,24.749999999999993,475.5500000000011,PositionState,upper,11346.0,11732.0,0.0,-152.0,170.5,-152.0,18.5,0,6.680000000000291,None,723.507
2020-09-11 16:00:00,10316.0,10340.0,10272.5,10325.0,354.843,3663753.975,2020-09-11 16:00:00,0.0001,0.0001,3576.556,51.76,10378.29,10168.78,10273.53,10483.04,10064.03,10587.79,9959.27,-3.54,-22.43,18.89,17.0,17.55,24.15,36.97,626.9338571428572,-29.45,-51.469999999999345,-35.89,-0.1,10300.83,10303.05,158.04000000000087,-260.96999999999935,-21.950000000000728,-24.170000000000073,-18.240000000000002,21.759999999999998,-0.5500000000000007,18.89,419.0100000000002,None,None,10431.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,521.426
2020-09-11 20:00:00,10325.0,10393.0,10309.0,10387.0,495.839,5150279.693,2020-09-11 20:00:00,0.0001,0.0001,3559.632,54.56,10388.74,10179.94,10284.34,10493.13,10075.54,10597.53,9971.15,5.06,-16.93,21.99,18.88,16.83,22.84,35.51,612.1722142857143,-14.76,-102.65999999999985,-17.78,2.53,10311.5,10336.63,106.1299999999992,-311.4599999999991,-50.3700000000008,-75.5,-15.439999999999998,24.560000000000002,2.0500000000000007,21.99,417.5899999999983,None,None,10431.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,521.426
2020-09-12 00:00:00,10387.0,10390.5,10325.5,10350.5,646.009,6686516.1545,2020-09-12 00:00:00,0.0001,0.000567,3572.166,52.62,10378.86,10202.42,10290.64,10467.07,10114.21,10555.29,10025.99,8.84,-11.77,20.61,18.26,16.28,21.61,34.23,609.0977857142858,-3.07,-59.86000000000058,-54.63,1.8,10304.5,10342.17,116.56999999999971,-236.29000000000087,-8.329999999999927,-46.0,-17.380000000000003,22.619999999999997,1.9800000000000004,20.61,352.8600000000006,None,None,10431.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,521.426
2020-09-12 04:00:00,10350.5,10370.5,10312.5,10338.5,342.594,3541908.069,2020-09-12 04:00:00,0.0001,3e-05,3607.052,51.97,10377.68,10212.71,10295.2,10460.17,10130.23,10542.65,10047.74,10.74,-7.27,18.01,17.7,16.47,20.33,32.51,609.6751428571428,0.57,-43.29999999999927,-48.97,-1.36,10311.55,10340.7,121.67000000000007,-208.27000000000044,2.2000000000007276,-26.950000000000728,-18.03,21.97,1.2300000000000004,18.009999999999998,329.9400000000005,None,None,10431.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,521.426
2020-09-12 08:00:00,10338.5,10353.0,10326.0,10342.0,244.843,2532166.306,2020-09-12 08:00:00,0.0001,0.000242,3535.116,52.16,10359.44,10239.87,10299.65,10419.23,10180.08,10479.02,10120.29,12.38,-3.34,15.72,17.43,16.22,19.13,30.84,564.9035714285715,-44.77,-42.350000000000364,-97.69,-0.58,10311.88,10341.22,77.22999999999956,-161.92000000000007,-0.7800000000006548,-30.1200000000008,-17.840000000000003,22.159999999999997,1.2100000000000009,15.72,239.14999999999964,None,None,10431.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,521.426
2020-09-12 12:00:00,10342.0,10369.0,10276.0,10356.0,664.59,6882494.04,2020-09-12 12:00:00,0.0001,-0.000441,3550.286,52.94,10360.78,10249.25,10305.02,10416.55,10193.49,10472.32,10137.72,14.65,0.25,14.39,16.51,18.21,18.11,29.39,570.0469999999999,5.14,-50.97999999999956,-57.03,-3.18,10326.77,10347.13,60.54999999999927,-162.51000000000022,-8.8700000000008,-29.229999999999563,-17.060000000000002,22.939999999999998,-1.6999999999999993,14.4,223.0599999999995,None,None,10431.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,521.426
2020-09-12 16:00:00,10356.0,10481.0,10348.5,10453.5,697.326,7289497.341,2020-09-12 16:00:00,0.0001,-0.000677,3623.696,58.11,10380.34,10257.98,10319.16,10441.52,10196.8,10502.69,10135.63,24.03,5.01,19.02,21.62,16.84,17.71,27.79,573.8969285714286,3.84,-134.34000000000015,18.98,5.56,10348.0,10389.68,-11.979999999999563,-256.7000000000007,-63.81999999999971,-105.5,-11.89,28.11,4.780000000000001,19.020000000000003,244.72000000000116,EntryPreparationState,upper,10431.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,521.426
