,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,profit_ma
1108,1627272000.0,38316.5,39299.0,37863.0,38192.5,20697.335,790482966.9874998,2021-07-26 04:00:00,-0.00045135,0.000603,13294.772,84.67,36082.06,32844.74,34463.4,37700.72,31226.08,39319.38,29607.42,1252.83,861.95,390.88,53.65,5.66,49.59,41.23,14700.897500000001,295.12,-3729.0999999999985,2332.94,16.5,35306.0,36968.64,-491.77999999999884,-6966.419999999998,-1223.8600000000006,-2886.5,14.670000000000002,54.67,47.989999999999995,390.8799999999999,6474.639999999999,PositionState,upper,38192.5,38645.5,0.0,453.0,2537.5,-1407.5,916.7307692307693,0,2392.199999999997
1137,1627689600.0,42209.5,42421.5,41584.0,41812.5,11152.382,466308972.375,2021-07-31 00:00:00,0.0001,2.1e-05,12411.14,66.6,40459.19,38879.0,39669.1,41249.28,38088.91,42039.38,37298.82,979.04,978.64,0.4,35.32,13.09,41.83,47.38,11926.321285714284,-998.15,-2143.4000000000015,460.33,11.08,40101.33,41069.44,-563.2200000000012,-3723.5899999999965,-743.0599999999977,-1711.1699999999983,-3.4000000000000057,36.599999999999994,22.23,0.39999999999997726,3160.3699999999953,PositionState,upper,41812.5,39836.5,0.0,-1976.0,610.5,-1976.0,-366.75,0,-273.3600000000006
1172,1628193600.0,40677.5,41275.0,40664.5,40848.5,7425.313,303312898.0805,2021-08-05 20:00:00,0.0001,-0.000221,12614.11,61.39,40179.12,38491.49,39335.31,41022.94,37647.68,41866.75,36803.86,51.76,-188.74,240.5,24.29,22.07,17.71,21.04,12521.163357142857,-729.3,-1513.1900000000023,782.37,10.35,39480.55,40043.17,174.44000000000233,-3200.8199999999997,-805.3300000000017,-1367.949999999997,-8.61,31.39,2.219999999999999,240.5,3375.260000000002,PositionState,upper,40848.5,45305.0,0.0,4456.5,5597.0,-625.5,3508.923076923077,0,5646.220000000001
1221,1628899200.0,47790.0,47800.0,47428.0,47555.0,5082.181,241683117.455,2021-08-14 00:00:00,-1.027e-05,0.000432,13263.613,67.07,46790.66,44933.59,45862.12,47719.19,44005.06,48647.72,43076.52,634.67,474.23,160.44,29.8,13.22,21.52,22.69,9449.723857142857,27.57,-1692.8799999999974,860.29,6.88,46032.33,47097.11,164.19000000000233,-3549.9400000000023,-457.8899999999994,-1522.6699999999983,-2.930000000000007,37.06999999999999,16.58,160.43999999999994,3714.1300000000047,PositionState,upper,47555.0,45819.5,0.0,-1735.5,102.5,-1735.5,-609.375,0,-583.760000000002
1261,1629475200.0,48699.5,49137.0,48307.0,48672.5,10977.903,534321983.7675,2021-08-20 16:00:00,0.0001,4.6e-05,14676.495,66.91,47754.46,45140.88,46447.67,49061.26,43834.09,50368.05,42527.3,520.6,113.89,406.7,32.51,11.25,22.01,18.39,10359.3925,167.35,-2224.8300000000017,1273.81,8.25,46846.88,47985.73,388.76000000000204,-4838.4100000000035,-686.7699999999968,-1825.6200000000026,-3.0900000000000034,36.91,21.259999999999998,406.71000000000004,5227.1700000000055,PositionState,upper,48672.5,48383.5,0.0,-289.0,1670.0,-289.0,524.0416666666666,0,1092.0999999999985
1336,1630555200.0,49557.5,50300.0,49322.0,49838.0,12255.135,610771418.13,2021-09-02 04:00:00,0.0001,-0.000361,16090.736,67.03,48953.99,47427.25,48190.62,49717.35,46663.89,50480.72,45900.52,212.03,-55.21,267.24,32.38,12.08,15.68,14.65,9317.21542857143,-71.75,-1647.3799999999974,757.95,7.59,48115.11,49171.43,-120.65000000000146,-3174.1100000000006,-666.5699999999997,-1722.8899999999994,-2.969999999999999,37.03,20.300000000000004,267.24,3053.459999999999,PositionState,upper,49838.0,51001.0,0.0,1163.0,2771.5,-526.5,711.015625,0,2605.6200000000026
1433,1631952000.0,48588.0,48730.0,48305.0,48321.0,4219.344,203882921.424,2021-09-18 08:00:00,0.0001,-0.000327,16973.097,60.28,47962.66,47209.87,47586.27,48339.06,46833.48,48715.45,46457.08,392.3,388.54,3.76,23.6,14.2,22.83,28.41,6057.1605714285715,-126.81,-734.7300000000032,105.48,5.99,47791.94,48133.74,18.05999999999767,-1487.5199999999968,-187.26000000000204,-529.0599999999977,-9.719999999999999,30.28,9.400000000000002,3.759999999999991,1505.5799999999945,PositionState,upper,48321.0,47370.0,0.0,-951.0,88.5,-951.0,-232.92857142857142,0,-319.59999999999854
1512,1633089600.0,47486.5,47890.0,46788.0,47330.0,15720.447,744048756.51,2021-10-01 12:00:00,-7.744e-05,-0.000641,16519.713,73.11,45534.82,42036.59,43785.7,47283.93,40287.48,49033.04,38538.37,859.76,296.01,563.75,37.65,11.28,26.26,27.46,11596.113499999998,637.62,-3544.300000000003,2525.65,12.54,44427.0,46162.27,-46.06999999999971,-7042.519999999997,-1167.7300000000032,-2903.0,3.1099999999999994,43.11,26.369999999999997,563.75,6996.449999999997,PositionState,upper,47330.0,55380.5,0.0,8050.5,10157.5,0.0,5124.904411764706,0,10104.61
1594,1634270400.0,59425.0,60371.5,59151.0,59300.5,9552.909,569453863.922,2021-10-15 04:00:00,0.00022649,0.001557,12997.292,64.72,58458.06,56075.19,57266.62,59649.49,54883.75,60840.93,53692.32,838.54,669.78,168.75,29.39,13.51,23.7,29.24,8017.885571428572,-204.37,-2033.8799999999974,1008.47,10.12,57981.05,58683.2,348.98999999999796,-4416.75,-617.3000000000029,-1319.449999999997,-5.280000000000001,34.72,15.88,168.76,4765.739999999998,PositionState,upper,59300.5,63029.5,0.0,3729.0,7634.0,0.0,3104.5128205128203,0,5641.870000000003
1704,1635854400.0,62990.5,64258.5,62990.5,63969.5,9498.46,603259105.1255,2021-11-02 12:00:00,0.00038595,0.00028,17679.791,64.86,62551.75,60839.0,61695.37,63408.12,59982.63,64264.49,59126.25,337.8,106.47,231.33,25.79,18.43,15.73,14.51,6640.9455,444.06,-2274.1299999999974,1195.12,11.41,61966.77,62791.88,-561.3799999999974,-3986.8700000000026,-1177.6200000000026,-2002.7300000000032,-5.140000000000001,34.86,7.359999999999999,231.33,3425.4900000000052,PositionState,upper,63969.5,62194.5,0.0,-1775.0,0.0,-1775.0,-697.5714285714286,0,31.700000000004366
