,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,bb_direction,state,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
84,1696863600.0,27483.0,27526.8,27413.1,27429.8,4116.138,113066445.6162,2023-10-09 15:00:00,-1.491e-05,-0.000447,67050.214,28.43,27865.13,27472.45,27668.79,28061.46,27276.11,28257.8,27079.77,-116.67,-78.45,-38.21,9.87,30.02,31.25,21.36,5477.677714285715,73.27,238.9900000000016,40.88,1.98,27541.76,27469.26,631.6599999999999,-153.6899999999987,39.45999999999913,111.95999999999913,-41.57,-1.5700000000000003,-20.15,-38.22,785.3499999999985,lower,PositionState,27530.7,27664.1,100.90000000000146,,,,,
85,1696867200.0,27429.8,27537.5,27250.0,27390.9,18486.992,506065860.2914,2023-10-09 16:00:00,-1.275e-05,-0.00034,67035.027,26.83,27848.79,27435.86,27642.32,28055.25,27229.4,28261.71,27022.93,-123.87,-87.54,-36.33,8.37,34.09,33.35,22.1,6701.219714285714,1223.54,251.41999999999825,36.82,-6.27,27496.07,27437.91,664.3499999999985,-161.5,47.0099999999984,105.16999999999825,-43.17,-3.1700000000000017,-25.720000000000006,-36.33,825.8499999999985,lower,PositionState,27530.7,27664.1,139.79999999999927,,,,,
86,1696870800.0,27390.9,27586.0,27333.5,27583.2,7604.28,208990041.3261,2023-10-09 17:00:00,-1.275e-05,-0.000333,65374.168,43.69,27839.96,27433.42,27636.69,28043.23,27230.16,28246.49,27026.89,-112.77,-92.58,-20.18,9.73,29.79,34.59,22.44,7179.682785714286,478.46,53.48999999999796,-18.98,4.16,27479.51,27496.03,460.02999999999884,-353.0400000000009,-87.17000000000189,-103.69000000000233,-26.310000000000002,13.689999999999998,-20.06,-20.189999999999998,813.0699999999997,lower,PositionState,27530.7,27664.1,-52.5,,,,,
87,1696874400.0,27583.2,27738.2,27547.4,27552.3,10468.598,289349716.3684,2023-10-09 18:00:00,-1.275e-05,-0.000478,65302.659,42.02,27828.26,27429.04,27628.65,28027.87,27229.43,28227.48,27029.82,-105.24,-95.12,-10.12,16.24,27.02,33.9,22.27,7878.728928571429,699.04,76.35000000000218,-26.65,10.64,27481.91,27518.53,475.5699999999997,-322.869999999999,-33.77000000000044,-70.38999999999942,-27.979999999999997,12.020000000000003,-10.780000000000001,-10.11999999999999,798.4399999999987,lower,PositionState,27530.7,27664.1,-21.599999999998545,,,,,
88,1696878000.0,27552.3,27635.4,27524.6,27604.9,3044.796,83968530.7947,2023-10-09 19:00:00,-1.275e-05,-0.00052,64931.414,45.83,27819.82,27432.96,27626.39,28013.26,27239.52,28206.69,27046.09,-93.96,-94.88,0.92,15.35,26.67,33.4,22.2,7960.538571428572,81.8,21.489999999997963,-40.06,5.96,27491.84,27553.08,408.35999999999694,-365.380000000001,-51.81999999999971,-113.06000000000131,-24.17,15.829999999999998,-11.320000000000002,0.9200000000000017,773.739999999998,lower,PositionState,27530.7,27664.1,-74.20000000000073,,,,,
89,1696881600.0,27604.9,27643.7,27541.5,27557.4,2247.913,62012424.8505,2023-10-09 20:00:00,-1.275e-05,-0.000447,64926.276,43.07,27811.5,27428.14,27619.82,28003.18,27236.46,28194.85,27044.78,-87.83,-93.47,5.64,14.98,25.29,32.84,22.35,8048.377714285714,87.83,62.419999999998254,-21.62,0.12,27503.54,27554.8,445.77999999999884,-320.9400000000023,-2.600000000002183,-53.86000000000058,-26.93,13.07,-10.309999999999999,5.640000000000001,766.7200000000012,lower,PositionState,27530.7,27664.1,-26.700000000000728,,,,,
90,1696885200.0,27557.4,27624.5,27542.0,27608.4,1249.929,34476701.9357,2023-10-09 21:00:00,-1.275e-05,-0.000439,64888.039,46.77,27798.05,27439.42,27618.73,27977.36,27260.1,28156.68,27080.78,-77.96,-90.37,12.4,14.33,24.2,32.32,23.03,7970.669642857144,-77.7,10.329999999998108,-59.53,0.07,27523.97,27576.24,368.9599999999991,-348.3000000000029,-32.159999999999854,-84.43000000000029,-23.229999999999997,16.770000000000003,-9.87,12.41000000000001,717.260000000002,lower,PositionState,27530.7,27664.1,-77.70000000000073,,,,,
91,1696888800.0,27608.4,27633.4,27561.8,27576.1,1442.494,39810071.5775,2023-10-09 22:00:00,-1.275e-05,-0.000383,65074.89,44.79,27781.69,27447.65,27614.67,27948.71,27280.63,28115.74,27113.61,-71.92,-86.68,14.76,14.26,23.26,31.73,24.41,7575.868928571428,-394.8,38.56999999999971,-75.0,0.21,27531.77,27576.18,372.6100000000006,-295.4699999999975,0.08000000000174623,-44.32999999999811,-25.21,14.79,-9.000000000000002,14.760000000000005,668.0799999999981,lower,PositionState,27530.7,27664.1,-45.39999999999782,,,,,
92,1696892400.0,27576.1,27605.5,27560.3,27579.2,771.79,21283510.3343,2023-10-09 23:00:00,-1.275e-05,-0.000384,65347.09,45.03,27764.37,27458.22,27611.29,27917.44,27305.15,28070.51,27152.07,-66.12,-82.57,16.45,13.89,22.75,31.19,25.69,6289.517714285715,-1286.35,32.090000000000146,-84.44,0.07,27542.46,27577.39,338.23999999999796,-274.0499999999993,-1.8100000000013097,-36.7400000000016,-24.97,15.030000000000001,-8.86,16.44999999999999,612.2899999999972,lower,PositionState,27530.7,27664.1,-48.5,,,,,
93,1696896000.0,27579.2,27620.7,27522.4,27537.2,2515.442,69359211.5389,2023-10-10 00:00:00,9.735e-05,-0.000507,65357.122,42.33,27739.15,27469.32,27604.24,27874.06,27334.41,28008.97,27199.5,-64.17,-78.89,14.72,13.11,23.65,31.01,27.18,5828.612785714286,-460.9,67.04000000000087,-103.9,-2.04,27554.4,27561.31,336.8600000000006,-202.79000000000087,24.110000000000582,17.200000000000728,-27.67,12.329999999999998,-10.54,14.719999999999999,539.6500000000015,lower,PositionState,27530.7,27664.1,-6.5,,,,,
