,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,state,bb_direction,enter_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
1735,1867,1675861200000.0,23126.0,23138.0,23061.5,23067.0,2790.321,64452895.8525,2023-02-08 13:00:00,0.0001,46803.655,35.96,23222.43,23128.53,23175.48,23269.38,23081.58,23316.33,23034.63,-13.63,5.22,-18.86,16.45,24.79,21.05,28.53,1218.4052857142856,128.89,-11.42,34.29,-4.96,23159.0,23106.91,PositionState,lower,23067.0,22959.0,0.0,108.0,257.0,-41.5,119.68181818181819,167.16999999999825
1763,1895,1675911600000.0,22800.5,22808.0,22430.0,22514.5,20744.147,468486058.3235,2023-02-09 03:00:00,0.0001,48924.934,22.19,23003.12,22798.56,22900.84,23105.41,22696.28,23207.69,22593.99,-66.57,-44.17,-22.4,9.67,48.75,32.56,33.61,2594.161357142857,1232.3,-40.66,187.13,-22.86,22885.05,22691.85,PositionState,lower,22514.5,22736.5,0.0,-222.0,0.0,-222.0,-91.54545454545455,-6.81000000000131
1788,1920,1675956600000.0,22614.0,22646.5,22550.0,22599.5,3546.895,80153529.4895,2023-02-09 15:30:00,0.0001,49892.678,39.62,22732.09,22644.2,22688.15,22776.04,22600.26,22819.98,22556.31,-34.31,-37.5,3.19,20.35,20.62,21.91,29.41,2606.694714285714,136.21,-9.32,-17.23,-4.71,22673.88,22629.93,PositionState,lower,22599.5,21910.0,0.0,689.5,840.5,0.0,583.2575757575758,753.0999999999985
1828,1960,1676028600000.0,21785.8,21790.6,21705.6,21729.5,4139.397,90020362.8072,2023-02-10 11:30:00,0.0001,50140.67,34.87,21909.62,21808.48,21859.05,21960.19,21757.91,22010.76,21707.34,-73.0,-84.6,11.6,8.76,31.4,49.18,47.74,2144.057214285714,198.85,-13.63,14.17,-4.02,21838.29,21770.06,PositionState,lower,21729.5,21833.8,0.0,-104.29999999999927,18.700000000000728,-104.29999999999927,-41.557142857142544,-39.98999999999796
1837,1969,1676044800000.0,21650.4,21745.3,21592.3,21625.8,5159.085,111773517.1152,2023-02-10 16:00:00,0.0001,49641.505,33.92,21867.47,21715.27,21791.37,21943.58,21639.17,22019.68,21563.07,-64.5,-63.62,-0.87,8.85,31.37,46.79,47.53,3460.1315714285715,290.76,-17.43,50.55,-0.47,21752.74,21680.58,PositionState,lower,21625.8,21770.1,0.0,-144.29999999999927,60.20000000000073,-144.29999999999927,-44.36250000000018,-50.39999999999782
1848,1980,1676064600000.0,21630.7,21646.0,21431.1,21524.5,9383.303,201962374.1206,2023-02-10 21:30:00,0.0001,50095.289,33.84,21790.6,21623.34,21706.97,21874.23,21539.71,21957.86,21456.08,-56.96,-55.08,-1.88,12.13,36.84,40.72,43.02,3950.4058571428573,439.73,-19.2,36.43,-9.76,21685.72,21601.04,PositionState,lower,21524.5,21661.3,0.0,-136.79999999999927,0.0,-136.79999999999927,-83.22000000000007,-48.45999999999913
1967,2099,1676278800000.0,21715.9,21745.0,21470.0,21527.4,13023.829,281053768.661,2023-02-13 09:00:00,0.0001,49962.385,28.65,21855.95,21700.27,21778.11,21933.78,21622.44,22011.62,21544.6,-31.44,-14.32,-17.11,12.58,37.65,20.56,25.9,2326.5807142857143,820.58,-26.38,84.4,-17.44,21782.08,21645.19,PositionState,lower,21527.4,21635.2,0.0,-107.79999999999927,70.80000000000291,-162.6999999999971,-51.14999999999854,61.279999999998836
2138,2270,1676586600000.0,24361.3,24363.9,23966.0,24003.8,17382.888,419437901.1311,2023-02-16 22:30:00,0.00014868,45157.715,32.56,24847.84,24320.57,24584.21,25111.47,24056.94,25375.1,23793.31,-45.67,47.94,-93.62,15.01,30.39,30.91,35.8,8011.130642857142,-323.31,-61.09,173.22,-12.8,24575.01,24230.08,PositionState,lower,24003.8,23821.9,0.0,181.89999999999782,488.2999999999993,0.0,242.41923076922998,445.8600000000006
2376,2508,1677015000000.0,24231.6,24344.8,24164.9,24204.6,6419.498,155745689.1852,2023-02-21 21:30:00,0.0001,50238.123,32.03,24673.49,24390.1,24531.8,24815.19,24248.41,24956.88,24106.71,-102.35,-75.49,-26.86,12.89,29.01,21.28,19.8,5606.365428571429,-46.17,-34.44,86.31,-1.28,24513.86,24287.17,PositionState,lower,24204.6,24179.9,0.0,24.69999999999709,257.6999999999971,-250.90000000000146,36.199999999998305,156.70999999999913
2410,2542,1677076200000.0,23975.8,24083.0,23883.2,23935.2,5590.083,134185512.8133,2023-02-22 14:30:00,0.0001,51396.356,38.86,24176.37,24022.12,24099.25,24253.49,23945.0,24330.61,23867.88,-60.26,-62.72,2.45,12.57,28.5,30.26,34.79,3313.325857142857,250.7,-17.25,1.26,-2.46,24096.95,23989.3,PositionState,lower,23935.2,23983.0,0.0,-47.79999999999927,297.7000000000007,-47.79999999999927,148.06875000000082,93.13999999999942
