,Unnamed: 0.1,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,entry_volume
10,29,161,1620378000000.0,56131.5,56531.0,56103.0,56267.0,504.902,28409320.834,2021-05-07 09:00:00,0.00083697,0.000596,5207.362,48.75,56718.51,55832.89,56275.7,57161.32,55390.08,57604.13,54947.27,-195.56,-188.31,-7.24,18.52,18.02,16.81,20.24,481.6745,-23.86,8.69999999999709,-403.5,3.63,55988.38,56145.13,894.3199999999997,-876.9199999999983,-121.87000000000262,-278.6200000000026,-21.25,18.75,0.5,-7.25,PositionState,lower,56990.5,56449.0,-104.5,0.0,0.0,0.0,0.0,0,706.637
11,30,162,1620381600000.0,56267.0,56650.5,56267.0,56449.0,275.008,15523926.592,2021-05-07 10:00:00,0.00083697,0.000471,5189.658,51.55,56674.75,55909.65,56292.2,57057.29,55527.11,57439.84,55144.56,-156.63,-181.97,25.33,19.11,17.18,15.99,19.85,467.37257142857146,-14.3,-156.8000000000029,-355.73,5.06,56014.16,56297.06,608.2900000000009,-921.8899999999994,-151.94000000000233,-434.8399999999965,-18.450000000000003,21.55,1.93,25.340000000000003,IdleState,lower,56990.5,56449.0,-286.5,0.0,0.0,0.0,0.0,0,706.637
12,31,163,1620385200000.0,56449.0,56760.5,56243.0,56463.0,360.836,20373883.068,2021-05-07 11:00:00,0.00083697,-9.4e-05,5171.79,51.76,56629.07,55987.86,56308.47,56949.68,55667.25,57270.29,55346.65,-123.24,-170.23,46.98,19.25,16.09,15.48,19.51,468.1090714285714,0.73,-154.52999999999884,-351.77,1.82,56081.16,56380.03,486.6800000000003,-795.75,-82.97000000000116,-381.8399999999965,-18.24,21.76,3.16,46.99,,,56990.5,0.0,0.0,0.0,0.0,0.0,0.0,0,706.637
13,32,164,1620388800000.0,56463.0,57554.5,56250.0,57435.5,1100.585,63212649.7675,2021-05-07 12:00:00,0.00083697,-7.1e-05,5131.234,63.91,56815.48,56016.13,56415.8,57215.15,55616.45,57614.83,55216.77,-18.09,-139.8,121.7,25.37,13.72,16.5,19.65,528.5017857142857,60.39,-1019.6999999999972,208.66,8.63,56269.72,56907.76,-220.34999999999852,-1819.050000000003,-527.739999999998,-1165.7799999999988,-6.090000000000003,33.91,11.65,121.71,EnterPreparationState,upper,56990.5,0.0,0.0,0.0,0.0,0.0,0.0,0,706.637
14,33,165,1620392400000.0,57435.5,57653.0,56938.5,56990.5,747.634,42608035.477,2021-05-07 13:00:00,0.00083697,0.000188,5044.176,56.86,56879.82,56061.25,56470.54,57289.1,55651.97,57698.38,55242.69,28.99,-106.04,135.03,24.45,12.63,17.6,19.51,544.0271428571428,15.52,-519.9599999999991,303.89,6.28,56396.11,56949.13,298.59999999999854,-1338.5299999999988,-41.37000000000262,-594.3899999999994,-13.14,26.86,11.82,135.03,PositionState,upper,56990.5,57085.0,0.0,94.5,1354.5,0.0,609.0,0,706.637
15,46,178,1620439200000.0,57610.0,58349.0,57590.0,58300.0,341.056,19883564.8,2021-05-08 02:00:00,0.0001,0.000962,4860.43999999,63.19,58083.63,56656.42,57370.03,58797.23,55942.82,59510.83,55229.22,329.87,284.86,45.01,28.12,14.92,22.92,20.26,623.3005714285715,-54.25,-929.9700000000012,-58.29,4.82,57655.72,57941.97,497.2300000000032,-2357.1800000000003,-358.02999999999884,-644.2799999999988,-6.810000000000002,33.19,13.2,45.00999999999999,,,58864.0,0.0,0.0,0.0,0.0,0.0,0.0,0,630.758
16,47,179,1620442800000.0,58300.0,58439.0,58034.5,58125.0,301.699,17536254.375,2021-05-08 03:00:00,0.0001,0.000607,4829.584,60.56,58093.67,56790.18,57441.93,58745.42,56138.44,59397.17,55486.69,348.76,297.64,51.12,27.84,14.2,23.6,20.82,591.4480714285713,-31.85,-683.0699999999997,-149.21,4.32,57674.16,58033.48,620.4199999999983,-1986.5599999999977,-91.5199999999968,-450.8399999999965,-9.439999999999998,30.56,13.64,51.120000000000005,,,58864.0,0.0,0.0,0.0,0.0,0.0,0.0,0,630.758
17,48,180,1620446400000.0,58125.0,58619.0,57995.0,58104.5,648.834,37700175.153,2021-05-08 04:00:00,0.0001,0.001244,4825.018,60.24,58105.26,56904.8,57505.03,58705.49,56304.57,59305.72,55704.34,357.95,309.7,48.24,27.91,13.15,24.48,21.78,587.3192857142857,-4.12,-599.4700000000012,-257.87,0.83,57720.11,58068.99,600.989999999998,-1799.9300000000003,-35.51000000000204,-384.3899999999994,-9.759999999999998,30.24,14.76,48.25,,,58864.0,0.0,0.0,0.0,0.0,0.0,0.0,0,630.758
18,49,181,1620450000000.0,58104.5,58104.5,57860.0,57937.0,334.621,19386936.877,2021-05-08 05:00:00,0.0001,0.001133,4761.376,57.6,58082.64,57009.7,57546.17,58619.11,56473.23,59155.58,55936.75,347.71,317.3,30.4,27.07,14.42,24.91,22.93,567.4099285714285,-19.9,-390.83000000000175,-294.97,-2.03,57748.55,58002.99,682.1100000000006,-1463.7699999999968,65.98999999999796,-188.4499999999971,-12.4,27.6,12.65,30.409999999999968,,,58864.0,0.0,0.0,0.0,0.0,0.0,0.0,0,630.758
19,50,182,1620453600000.0,57937.0,57974.0,57535.5,57841.0,416.364,24082910.124,2021-05-08 06:00:00,0.0001,0.001851,4797.612,56.08,58046.18,57102.31,57574.25,58518.12,56630.38,58990.05,56158.44,328.06,319.45,8.6,25.57,17.71,24.43,23.74,497.2641428571428,-70.14,-266.75,-344.51,-5.63,57793.11,57921.99,677.1200000000026,-1210.6200000000026,80.98999999999796,-47.88999999999942,-13.920000000000002,26.08,7.859999999999999,8.610000000000014,,,58864.0,0.0,0.0,0.0,0.0,0.0,0.0,0,630.758
