,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,state,bb_direction,enter_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
11,143,1672758000000.0,16658.0,16680.0,16616.0,16644.5,5886.371,98012287.978,2023-01-03 15:00:00,0.0001,-2e-06,74819.163,35.52,16729.38,16681.17,16705.27,16753.49,16657.06,16777.59,16632.96,-4.85,2.37,-7.23,14.97,30.52,21.94,20.59,1811.8929999999998,365.97,-6.39,22.64,-9.53,16704.83,16669.4,PositionState,lower,16644.5,16669.0,0.0,-24.5,23.0,-35.0,-1.8076923076923077,7.6599999999998545
92,224,1672903800000.0,16787.0,16814.0,16786.5,16814.0,867.798,14584012.852,2023-01-05 07:30:00,6.612e-05,-0.000455,70500.937,47.3,16837.78,16807.6,16822.69,16852.87,16792.51,16867.96,16777.42,-5.74,-2.86,-2.88,20.94,30.84,12.58,15.05,527.9011428571429,6.13,-0.9,1.92,0.21,16818.83,16808.06,PositionState,lower,16814.0,16816.0,0.0,-2.0,16.0,-2.0,7.416666666666667,-0.9399999999986903
105,237,1672927200000.0,16771.0,16812.5,16747.0,16803.5,3499.784,58713170.2905,2023-01-05 14:00:00,3.569e-05,-0.000381,71747.33199999,47.49,16825.68,16794.83,16810.26,16841.1,16779.41,16856.52,16763.99,-6.65,-5.3,-1.35,14.07,31.91,16.24,14.41,1185.5190714285714,170.58,-0.71,1.25,-6.21,16808.94,16796.93,PositionState,lower,16803.5,16823.5,0.0,-20.0,0.0,-20.0,-10.0,-13.279999999998836
134,266,1672979400000.0,16800.5,16817.5,16798.5,16817.0,420.647,7070636.6,2023-01-06 04:30:00,-3.394e-05,-0.00027,71504.444,47.04,16839.11,16812.63,16825.87,16852.34,16799.4,16865.58,16786.16,-2.17,0.85,-3.03,14.74,30.35,16.76,13.43,597.5742142857143,-15.27,-0.93,3.41,-0.88,16826.16,16815.19,PositionState,lower,16817.0,16768.5,0.0,48.5,137.0,0.0,46.1578947368421,78.66999999999825
397,529,1673452800000.0,17328.5,17353.0,17316.5,17353.0,2052.166,35572740.903,2023-01-11 16:00:00,1.701e-05,-0.00045,71019.769,39.65,17427.93,17369.29,17398.61,17457.25,17339.97,17486.57,17310.66,-9.33,1.39,-10.73,14.0,30.62,18.43,20.15,1558.1466428571428,38.03,-4.79,23.04,-1.6,17388.61,17357.46,PositionState,lower,17353.0,17475.5,0.0,-122.5,13.0,-122.5,-30.3,-63.88000000000102
734,866,1674059400000.0,20653.0,20955.5,20385.0,20848.0,26274.25,542191943.004,2023-01-18 16:30:00,1.262e-05,0.00041,51966.976,35.0,21352.93,20993.28,21173.1,21532.75,20813.45,21712.58,20633.63,-63.26,-10.89,-52.37,14.79,35.08,26.15,20.55,11226.584785714285,1685.15,-34.22,158.13,-3.39,21183.5,20890.37,PositionState,lower,20848.0,20818.5,0.0,29.5,174.0,-141.0,49.416666666666664,104.81999999999971
772,904,1674127800000.0,20714.0,20736.0,20682.0,20725.5,2133.51,44188927.2955,2023-01-19 11:30:00,0.0001,-0.000819,54934.312,41.71,20815.01,20746.53,20780.77,20849.25,20712.29,20883.49,20678.04,-31.6,-33.28,1.68,11.55,26.06,24.49,26.16,1287.1840714285715,-11.52,-5.81,-6.76,-2.13,20765.33,20735.11,PositionState,lower,20725.5,20786.5,0.0,-61.0,10.5,-61.0,-26.571428571428573,-36.95000000000073
891,1023,1674342000000.0,22739.0,22955.0,22679.5,22804.0,9445.678,215609386.4665,2023-01-21 23:00:00,0.0001,-0.000127,44924.485,42.98,23177.98,22872.71,23025.35,23330.62,22720.08,23483.26,22567.44,48.01,118.22,-70.2,16.69,23.35,52.09,58.53,3950.2920000000004,269.96,-23.3,63.76,-3.58,23081.27,22865.43,PositionState,lower,22804.0,22887.0,0.0,-83.0,95.5,-121.0,-10.535714285714286,1.069999999999709
934,1066,1674419400000.0,22568.5,22600.5,22277.0,22457.5,10314.838,231370754.7215,2023-01-22 20:30:00,0.0001,-0.000193,45392.195,29.27,22905.11,22661.09,22783.1,23027.12,22539.08,23149.13,22417.07,-61.99,-24.5,-37.48,10.37,37.46,23.26,20.72,4775.113642857143,654.55,-34.27,135.44,-5.25,22763.33,22564.42,PositionState,lower,22457.5,22769.5,0.0,-312.0,8.0,-312.0,-155.0625,-159.3100000000013
1009,1141,1674554400000.0,22850.0,22924.0,22845.5,22913.5,2542.147,58191331.508,2023-01-24 10:00:00,0.0001,0.0,46803.231,43.55,23080.61,22926.77,23003.69,23157.53,22849.84,23234.45,22772.92,-0.43,29.47,-29.9,15.75,31.28,18.51,17.33,2257.2507142857144,106.49,-9.49,12.1,-0.8,23017.11,22915.72,PositionState,lower,22913.5,22994.0,0.0,-80.5,11.0,-80.5,-17.2,-40.039999999997235
